conj_verb	inf_verb	code	region	mood	gender	tense	person	sing_or_plural	haver_verb	anar_verb	pos_neg_cmd
actua	actuar	VMIP3S00	central	I	0	P	3	S			0
actua	actuar	VMM02S00	central	M	0	0	2	S			pos
actuant	actuar	VMG00000	central	G	0	0	0	0			0
actuar	actuar	VMN00000	central	N	0	0	0	0			0
actuara	actuar	VMSI1S03	central	S	0	I	1	S			0
actuara	actuar	VMSI3S03	central	S	0	I	3	S			0
actuaran	actuar	VMIF3P00	central	I	0	F	3	P			0
actuarem	actuar	VMIF1P00	central	I	0	F	1	P			0
actuaren	actuar	VMSI3P03	central	S	0	I	3	P			0
actuares	actuar	VMSI2S03	central	S	0	I	2	S			0
actuareu	actuar	VMIF2P00	central	I	0	F	2	P			0
actuaria	actuar	VMIC1S00	central	I	0	C	1	S			0
actuaria	actuar	VMIC3S00	central	I	0	C	3	S			0
actuarien	actuar	VMIC3P00	central	I	0	C	3	P			0
actuaries	actuar	VMIC2S00	central	I	0	C	2	S			0
actuarà	actuar	VMIF3S00	central	I	0	F	3	S			0
actuaràs	actuar	VMIF2S00	central	I	0	F	2	S			0
actuaré	actuar	VMIF1S00	central	I	0	F	1	S			0
actuaríem	actuar	VMIC1P00	central	I	0	C	1	P			0
actuaríeu	actuar	VMIC2P00	central	I	0	C	2	P			0
actuassin	actuar	VMSI3P04	central	S	0	I	3	P			0
actuassis	actuar	VMSI2S04	central	S	0	I	2	S			0
actuat	actuar	VMP00SM0	central	P	M	0	0	S			0
actuava	actuar	VMII1S00	central	I	0	I	1	S			0
actuava	actuar	VMII3S00	central	I	0	I	3	S			0
actuaven	actuar	VMII3P00	central	I	0	I	3	P			0
actuaves	actuar	VMII2S00	central	I	0	I	2	S			0
actuem	actuar	VMIP1P00	central	I	0	P	1	P			0
actuem	actuar	VMM01P00	central	M	0	0	1	P			pos
actuem	actuar	VMSP1P00	central	S	0	P	1	P			0
actuen	actuar	VMIP3P00	central	I	0	P	3	P			0
actues	actuar	VMIP2S00	central	I	0	P	2	S			0
