,spanish_verb,catalan_verb
0,ser,ser
1,haber,haver
2,estar,estar
3,hablar,parlar
4,deber,deure
5,vivir,viure
6,tener,tenir
7,decir,dir
8,hacer,fer
9,poder,poder
10,ir,anar
11,dar,donar
12,ver,veure
13,saber,saber
14,querer,voler
15,creer,creure
16,poner,posar
17,parecer,semblar
18,seguir,seguir
19,pensar,pensar
20,venir,venir
21,encontrar,trobar
22,salir,sortir
23,volver,tornar
24,sentir,sentir
25,producir,produir
26,buscar,buscar
28,entender,entendre
29,morir,morir
30,caer,caure
31,jugar,jugar
32,elegir,triar
33,traer,portar
34,andar,caminar
35,incluir,incloure
36,valer,valer
37,reunir,reunir
38,actuar,actuar
39,caber,cabre
40,enviar,enviar
41,adquirir,adquirir
42,coger,agafar
43,sonreír,somriure
44,prohibir,prohibir
45,oler,olorar
47,lucir,lluir
48,aislar,aïllar
49,adecuar,adequar
50,averiguar,esbrinar
51,bendecir,beneir
52,complacer,complaure
53,pudrir,podrir
54,predecir,predir
55,yacer,jeure
56,erguir,alçar
57,aunar,unir
58,rehusar,refusar
59,errar,errar
60,engullir,engolir
61,discernir,discernir
63,endeudarse,endeutar
64,delinquir,delinquir
66,reír,riure
67,corroer,corroure
70,raer,raer
71,europeizar,europeïtzar
