note|tags|spanish_verb|inf_verb|person|sing_or_plural|mood|tense|pos_neg_cmd|context_phrase|cast_note|conj_verb|code|region|verb_type|gender|haver_verb|anar_verb|note1|note2|cat_note|tense_tag|mood_tag|ending_tag|pronoun_tag|cat_tags
A mesura que estic estudiant…ella està {{c1::siendo::…ser…}} (vigilada)| ends_in_er extreme_irregularity gerundio irregular_verb regular_form ser |ser|ser|0|0|G|0|0|vigilada|Mientras estoy estudiando…ella está {{c1::siendo::…ser…}} (vigilada)|sent|VSG00000|central|S|0|||A mesura que estic estudiant…ella està | (vigilada)|A mesura que estic estudiant…ella està {{c1::sent::…ser…}} (vigilada)||gerundi|-er|| gerundi -er ser 
Hugo ha {{c1::sido::…ser…}} (vigilat)| ends_in_er extreme_irregularity irregular_verb participio regular_form ser |ser|ser|0|S|P|0|0|vigilado|Hugo ha {{c1::sido::…ser…}} (vigilado)|sigut|VSP00SM0|central|S|M|||Hugo ha | (vigilat)|Hugo ha {{c1::sigut::…ser…}} (vigilat)||participi|-er|| participi -er ser 
⊙ Ara mateix, ⊙jo {{c1::soy::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity irregular_form irregular_verb presente ser yo |ser|ser|1|S|I|P|0|consciente de ello|⊙ Ahora mismo, ⊙yo {{c1::soy::…ser…}} (consciente de ello)|soc|VSIP1S00|central|S|0|||⊙ Ara mateix, ⊙jo | (conscient d'això)|⊙ Ara mateix, ⊙jo {{c1::soc::…ser…}} (conscient d'això)|present|indicatiu|-er|jo| present indicatiu -er jo ser 
⊙ Ara mateix, ⊙tu {{c1::eres::…ser…}} (conscient d'això)| dicho ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb presente ser tú tú_vos |ser|ser|2|S|I|P|0|consciente de ello|⊙ Ahora mismo, ⊙tú {{c1::eres::…ser…}} (consciente de ello)|ets|VSIP2S00|central|S|0|||⊙ Ara mateix, ⊙tu | (conscient d'això)|⊙ Ara mateix, ⊙tu {{c1::ets::…ser…}} (conscient d'això)|present|indicatiu|-er|tu| present indicatiu -er tu ser 
⊙ Ara mateix, ⊙ell/ella/vostè {{c1::es::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb modismo presente ser él_ella_usted |ser|ser|3|S|I|P|0|consciente de ello|⊙ Ahora mismo, ⊙él/ella/usted {{c1::es::…ser…}} (consciente de ello)|és|VSIP3S00|central|S|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (conscient d'això)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::és::…ser…}} (conscient d'això)|present|indicatiu|-er|ell/ella/vostè| present indicatiu -er ell/ella/vostè ser 
⊙ Ara mateix, ⊙nosaltres {{c1::somos::…ser…}} (conscients d'això)| ends_in_er extreme_irregularity irregular_form irregular_verb nosotros presente ser |ser|ser|1|P|I|P|0|conscientes de ello|⊙ Ahora mismo, ⊙nosotros {{c1::somos::…ser…}} (conscientes de ello)|som|VSIP1P00|central|S|0|||⊙ Ara mateix, ⊙nosaltres | (conscients d'això)|⊙ Ara mateix, ⊙nosaltres {{c1::som::…ser…}} (conscients d'això)|present|indicatiu|-er|nosaltres| present indicatiu -er nosaltres ser 
⊙ Ara mateix, ⊙vosaltres {{c1::sois::…ser…}} (conscients d'això)| ends_in_er extreme_irregularity irregular_form irregular_verb presente ser vosotros |ser|ser|2|P|I|P|0|conscientes de ello|⊙ Ahora mismo, ⊙vosotros {{c1::sois::…ser…}} (conscientes de ello)|sou|VSIP2P00|central|S|0|||⊙ Ara mateix, ⊙vosaltres | (conscients d'això)|⊙ Ara mateix, ⊙vosaltres {{c1::sou::…ser…}} (conscients d'això)|present|indicatiu|-er|vosaltres| present indicatiu -er vosaltres ser 
⊙ Ara mateix, ⊙ells/elles/vostès {{c1::son::…ser…}} (conscients d'això)| ellos_ellas_ustedes ends_in_er extreme_irregularity irregular_form irregular_verb presente ser |ser|ser|3|P|I|P|0|conscientes de ello|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::son::…ser…}} (conscientes de ello)|són|VSIP3P00|central|S|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (conscients d'això)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::són::…ser…}} (conscients d'això)|present|indicatiu|-er|ells/elles/vostès| present indicatiu -er ells/elles/vostès ser 
⇠ En aquella època, sovint, ⇠jo {{c1::era::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity imperfecto irregular_form irregular_verb ser yo |ser|ser|1|S|I|I|0|consciente de ello|⇠ En esa época, a menudo, ⇠yo {{c1::era::…ser…}} (consciente de ello)|era|VSII1S00|central|S|0|||⇠ En aquella època, sovint, ⇠jo | (conscient d'això)|⇠ En aquella època, sovint, ⇠jo {{c1::era::…ser…}} (conscient d'això)|imperfet|indicatiu|-er|jo| imperfet indicatiu -er jo ser 
⇠ En aquella època, sovint, ⇠tu {{c1::eras::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity imperfecto irregular_form irregular_verb ser tú_vos |ser|ser|2|S|I|I|0|consciente de ello|⇠ En esa época, a menudo, ⇠tú/vos {{c1::eras::…ser…}} (consciente de ello)|eres|VSII2S00|central|S|0|||⇠ En aquella època, sovint, ⇠tu | (conscient d'això)|⇠ En aquella època, sovint, ⇠tu {{c1::eres::…ser…}} (conscient d'això)|imperfet|indicatiu|-er|tu| imperfet indicatiu -er tu ser 
⇠ En aquella època, sovint, ⇠ell/ella/vostè {{c1::era::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity imperfecto irregular_form irregular_verb ser él_ella_usted |ser|ser|3|S|I|I|0|consciente de ello|⇠ En esa época, a menudo, ⇠él/ella/usted {{c1::era::…ser…}} (consciente de ello)|era|VSII3S00|central|S|0|||⇠ En aquella època, sovint, ⇠ell/ella/vostè | (conscient d'això)|⇠ En aquella època, sovint, ⇠ell/ella/vostè {{c1::era::…ser…}} (conscient d'això)|imperfet|indicatiu|-er|ell/ella/vostè| imperfet indicatiu -er ell/ella/vostè ser 
⇠ En aquella època, sovint, ⇠nosaltres {{c1::éramos::…ser…}} (conscients d'això)| dicho ends_in_er extreme_irregularity imperfecto in_the_wild irregular_form irregular_verb nosotros ser |ser|ser|1|P|I|I|0|conscientes de ello|⇠ En esa época, a menudo, ⇠nosotros {{c1::éramos::…ser…}} (conscientes de ello)|érem|VSII1P00|central|S|0|||⇠ En aquella època, sovint, ⇠nosaltres | (conscients d'això)|⇠ En aquella època, sovint, ⇠nosaltres {{c1::érem::…ser…}} (conscients d'això)|imperfet|indicatiu|-er|nosaltres| imperfet indicatiu -er nosaltres ser 
⇠ En aquella època, sovint, ⇠vosaltres {{c1::erais::…ser…}} (conscients d'això)| ends_in_er extreme_irregularity imperfecto irregular_form irregular_verb ser vosotros |ser|ser|2|P|I|I|0|conscientes de ello|⇠ En esa época, a menudo, ⇠vosotros {{c1::erais::…ser…}} (conscientes de ello)|éreu|VSII2P00|central|S|0|||⇠ En aquella època, sovint, ⇠vosaltres | (conscients d'això)|⇠ En aquella època, sovint, ⇠vosaltres {{c1::éreu::…ser…}} (conscients d'això)|imperfet|indicatiu|-er|vosaltres| imperfet indicatiu -er vosaltres ser 
⇠ En aquella època, sovint, ⇠ells/elles/vostès {{c1::eran::…ser…}} (conscients d'això)| ellos_ellas_ustedes ends_in_er extreme_irregularity imperfecto irregular_form irregular_verb ser |ser|ser|3|P|I|I|0|conscientes de ello|⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes {{c1::eran::…ser…}} (conscientes de ello)|eren|VSII3P00|central|S|0|||⇠ En aquella època, sovint, ⇠ells/elles/vostès | (conscients d'això)|⇠ En aquella època, sovint, ⇠ells/elles/vostès {{c1::eren::…ser…}} (conscients d'això)|imperfet|indicatiu|-er|ells/elles/vostès| imperfet indicatiu -er ells/elles/vostès ser 
↧ En aquell moment ↧jo {{c1::fui::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity indefinido irregular_form irregular_verb ser yo |ser|ser|1|S|I|passat_perifrastic|0|consciente de ello|↧ En aquel momento ↧yo {{c1::fui::…ser…}} (consciente de ello)|vaig ser||||||vaig|↧ En aquell moment ↧jo | (conscient d'això)|↧ En aquell moment ↧jo {{c1::vaig ser::…ser…}} (conscient d'això)|passat_perifrastic|indicatiu|-er|jo| passat_perifrastic indicatiu -er jo ser 
↧ En aquell moment ↧tu {{c1::fuiste::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity indefinido irregular_form irregular_verb ser tú_vos |ser|ser|2|S|I|passat_perifrastic|0|consciente de ello|↧ En aquel momento ↧tú/vos {{c1::fuiste::…ser…}} (consciente de ello)|vas ser||||||vas|↧ En aquell moment ↧tu | (conscient d'això)|↧ En aquell moment ↧tu {{c1::vas ser::…ser…}} (conscient d'això)|passat_perifrastic|indicatiu|-er|tu| passat_perifrastic indicatiu -er tu ser 
↧ En aquell moment ↧ell/ella/vostè {{c1::fue::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity indefinido irregular_form irregular_verb ser él_ella_usted |ser|ser|3|S|I|passat_perifrastic|0|consciente de ello|↧ En aquel momento ↧él/ella/usted {{c1::fue::…ser…}} (consciente de ello)|va ser||||||va|↧ En aquell moment ↧ell/ella/vostè | (conscient d'això)|↧ En aquell moment ↧ell/ella/vostè {{c1::va ser::…ser…}} (conscient d'això)|passat_perifrastic|indicatiu|-er|ell/ella/vostè| passat_perifrastic indicatiu -er ell/ella/vostè ser 
↧ En aquell moment ↧nosaltres {{c1::fuimos::…ser…}} (conscients d'això)| ends_in_er extreme_irregularity indefinido irregular_form irregular_verb nosotros ser |ser|ser|1|P|I|passat_perifrastic|0|conscientes de ello|↧ En aquel momento ↧nosotros {{c1::fuimos::…ser…}} (conscientes de ello)|vam ser||||||vam|↧ En aquell moment ↧nosaltres | (conscients d'això)|↧ En aquell moment ↧nosaltres {{c1::vam ser::…ser…}} (conscients d'això)|passat_perifrastic|indicatiu|-er|nosaltres| passat_perifrastic indicatiu -er nosaltres ser 
↧ En aquell moment ↧vosaltres {{c1::fuisteis::…ser…}} (conscients d'això)| ends_in_er extreme_irregularity indefinido irregular_form irregular_verb ser vosotros |ser|ser|2|P|I|passat_perifrastic|0|conscientes de ello|↧ En aquel momento ↧vosotros {{c1::fuisteis::…ser…}} (conscientes de ello)|vau ser||||||vau|↧ En aquell moment ↧vosaltres | (conscients d'això)|↧ En aquell moment ↧vosaltres {{c1::vau ser::…ser…}} (conscients d'això)|passat_perifrastic|indicatiu|-er|vosaltres| passat_perifrastic indicatiu -er vosaltres ser 
↧ En aquell moment ↧ells/elles/vostès {{c1::fueron::…ser…}} (conscients d'això)| ellos_ellas_ustedes ends_in_er extreme_irregularity in_the_wild indefinido irregular_form irregular_verb refrán ser |ser|ser|3|P|I|passat_perifrastic|0|conscientes de ello|↧ En aquel momento ↧ellos/ellas/ustedes {{c1::fueron::…ser…}} (conscientes de ello)|van ser||||||van|↧ En aquell moment ↧ells/elles/vostès | (conscients d'això)|↧ En aquell moment ↧ells/elles/vostès {{c1::van ser::…ser…}} (conscients d'això)|passat_perifrastic|indicatiu|-er|ells/elles/vostès| passat_perifrastic indicatiu -er ells/elles/vostès ser 
→ En el futur, →jo {{c1::seré::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity futuro irregular_verb regular_form ser yo |ser|ser|1|S|I|F|0|consciente de ello|→ En el futuro, →yo {{c1::seré::…ser…}} (consciente de ello)|seré|VSIF1S00|central|S|0|||→ En el futur, →jo | (conscient d'això)|→ En el futur, →jo {{c1::seré::…ser…}} (conscient d'això)|futur|indicatiu|-er|jo| futur indicatiu -er jo ser 
→ En el futur, →tu {{c1::serás::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity futuro irregular_verb regular_form ser tú_vos |ser|ser|2|S|I|F|0|consciente de ello|→ En el futuro, →tú/vos {{c1::serás::…ser…}} (consciente de ello)|seràs|VSIF2S00|central|S|0|||→ En el futur, →tu | (conscient d'això)|→ En el futur, →tu {{c1::seràs::…ser…}} (conscient d'això)|futur|indicatiu|-er|tu| futur indicatiu -er tu ser 
→ En el futur, →ell/ella/vostè {{c1::será::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity futuro irregular_verb regular_form ser él_ella_usted |ser|ser|3|S|I|F|0|consciente de ello|→ En el futuro, →él/ella/usted {{c1::será::…ser…}} (consciente de ello)|serà|VSIF3S00|central|S|0|||→ En el futur, →ell/ella/vostè | (conscient d'això)|→ En el futur, →ell/ella/vostè {{c1::serà::…ser…}} (conscient d'això)|futur|indicatiu|-er|ell/ella/vostè| futur indicatiu -er ell/ella/vostè ser 
→ En el futur, →nosaltres {{c1::seremos::…ser…}} (conscients d'això)| ends_in_er extreme_irregularity futuro irregular_verb nosotros regular_form ser |ser|ser|1|P|I|F|0|conscientes de ello|→ En el futuro, →nosotros {{c1::seremos::…ser…}} (conscientes de ello)|serem|VSIF1P00|central|S|0|||→ En el futur, →nosaltres | (conscients d'això)|→ En el futur, →nosaltres {{c1::serem::…ser…}} (conscients d'això)|futur|indicatiu|-er|nosaltres| futur indicatiu -er nosaltres ser 
→ En el futur, →vosaltres {{c1::seréis::…ser…}} (conscients d'això)| ends_in_er extreme_irregularity futuro irregular_verb regular_form ser vosotros |ser|ser|2|P|I|F|0|conscientes de ello|→ En el futuro, →vosotros {{c1::seréis::…ser…}} (conscientes de ello)|sereu|VSIF2P00|central|S|0|||→ En el futur, →vosaltres | (conscients d'això)|→ En el futur, →vosaltres {{c1::sereu::…ser…}} (conscients d'això)|futur|indicatiu|-er|vosaltres| futur indicatiu -er vosaltres ser 
→ En el futur, →ells/elles/vostès {{c1::serán::…ser…}} (conscients d'això)| ellos_ellas_ustedes ends_in_er extreme_irregularity futuro irregular_verb regular_form ser |ser|ser|3|P|I|F|0|conscientes de ello|→ En el futuro, →ellos/ellas/ustedes {{c1::serán::…ser…}} (conscientes de ello)|seran|VSIF3P00|central|S|0|||→ En el futur, →ells/elles/vostès | (conscients d'això)|→ En el futur, →ells/elles/vostès {{c1::seran::…ser…}} (conscients d'això)|futur|indicatiu|-er|ells/elles/vostès| futur indicatiu -er ells/elles/vostès ser 
… Si passés això, …jo {{c1::sería::…ser…}} (conscient d'això)| condicional ends_in_er extreme_irregularity irregular_verb regular_form ser yo |ser|ser|1|S|I|C|0|consciente de ello|… Si ocurriese esto, …yo {{c1::sería::…ser…}} (consciente de ello)|seria|VSIC1S00|central|S|0|||… Si passés això, …jo | (conscient d'això)|… Si passés això, …jo {{c1::seria::…ser…}} (conscient d'això)|condicional|indicatiu|-er|jo| condicional indicatiu -er jo ser 
… Si sucediera esto, …tu {{c1::serías::…ser…}} (conscient d'això)| condicional ends_in_er extreme_irregularity irregular_verb regular_form ser tú_vos |ser|ser|2|S|I|C|0|consciente de ello|… Si sucediera esto, …tú/vos {{c1::serías::…ser…}} (consciente de ello)|series|VSIC2S00|central|S|0|||… Si sucediera esto, …tu | (conscient d'això)|… Si sucediera esto, …tu {{c1::series::…ser…}} (conscient d'això)|condicional|indicatiu|-er|tu| condicional indicatiu -er tu ser 
… Si s'esdevingués alguna cosa, …ell/ella/vostè {{c1::sería::…ser…}} (conscient d'això)| condicional ends_in_er extreme_irregularity irregular_verb regular_form ser él_ella_usted |ser|ser|3|S|I|C|0|consciente de ello|… Si acaeciera algo, …él/ella/usted {{c1::sería::…ser…}} (consciente de ello)|seria|VSIC3S00|central|S|0|||… Si s'esdevingués alguna cosa, …ell/ella/vostè | (conscient d'això)|… Si s'esdevingués alguna cosa, …ell/ella/vostè {{c1::seria::…ser…}} (conscient d'això)|condicional|indicatiu|-er|ell/ella/vostè| condicional indicatiu -er ell/ella/vostè ser 
… Si passés alguna cosa, …nosaltres {{c1::seríamos::…ser…}} (conscients d'això)| condicional ends_in_er extreme_irregularity irregular_verb nosotros regular_form ser |ser|ser|1|P|I|C|0|conscientes de ello|… Si pasara algo, …nosotros {{c1::seríamos::…ser…}} (conscientes de ello)|seríem|VSIC1P00|central|S|0|||… Si passés alguna cosa, …nosaltres | (conscients d'això)|… Si passés alguna cosa, …nosaltres {{c1::seríem::…ser…}} (conscients d'això)|condicional|indicatiu|-er|nosaltres| condicional indicatiu -er nosaltres ser 
… Si s'esdevingués això, …vosaltres {{c1::seríais::…ser…}} (conscients d'això)| condicional ends_in_er extreme_irregularity irregular_verb regular_form ser vosotros |ser|ser|2|P|I|C|0|conscientes de ello|… Si aconteciese esto, …vosotros {{c1::seríais::…ser…}} (conscientes de ello)|seríeu|VSIC2P00|central|S|0|||… Si s'esdevingués això, …vosaltres | (conscients d'això)|… Si s'esdevingués això, …vosaltres {{c1::seríeu::…ser…}} (conscients d'això)|condicional|indicatiu|-er|vosaltres| condicional indicatiu -er vosaltres ser 
… Si es produís això, …ells/elles/vostès {{c1::serían::…ser…}} (conscients d'això)| condicional ellos_ellas_ustedes ends_in_er extreme_irregularity irregular_verb regular_form ser |ser|ser|3|P|I|C|0|conscientes de ello|… Si se produjera esto, …ellos/ellas/ustedes {{c1::serían::…ser…}} (conscientes de ello)|serien|VSIC3P00|central|S|0|||… Si es produís això, …ells/elles/vostès | (conscients d'això)|… Si es produís això, …ells/elles/vostès {{c1::serien::…ser…}} (conscients d'això)|condicional|indicatiu|-er|ells/elles/vostès| condicional indicatiu -er ells/elles/vostès ser 
〰 Resulta divertit que 〰jo {{c1::sea::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_presente yo |ser|ser|1|S|S|P|0|consciente de ello|〰 Resulta divertido que 〰yo {{c1::sea::…ser…}} (consciente de ello)|sigui|VSSP1S0Y|central|S|0|||〰 Resulta divertit que 〰jo | (conscient d'això)|〰 Resulta divertit que 〰jo {{c1::sigui::…ser…}} (conscient d'això)|present|subjuntiu|-er|jo| present subjuntiu -er jo ser 
〰 Resulta divertit que 〰tu {{c1::seas::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb refrán ser subjuntivo_presente tú_vos |ser|ser|2|S|S|P|0|consciente de ello|〰 Resulta divertido que 〰tú/vos {{c1::seas::…ser…}} (consciente de ello)|siguis|VSSP2S0Y|central|S|0|||〰 Resulta divertit que 〰tu | (conscient d'això)|〰 Resulta divertit que 〰tu {{c1::siguis::…ser…}} (conscient d'això)|present|subjuntiu|-er|tu| present subjuntiu -er tu ser 
〰 Resulta divertit que 〰ell/ella/vostè {{c1::sea::…ser…}} (conscient d'això)| cita ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb ser subjuntivo_presente él_ella_usted |ser|ser|3|S|S|P|0|consciente de ello|〰 Resulta divertido que 〰él/ella/usted {{c1::sea::…ser…}} (consciente de ello)|sigui|VSSP3S0Y|central|S|0|||〰 Resulta divertit que 〰ell/ella/vostè | (conscient d'això)|〰 Resulta divertit que 〰ell/ella/vostè {{c1::sigui::…ser…}} (conscient d'això)|present|subjuntiu|-er|ell/ella/vostè| present subjuntiu -er ell/ella/vostè ser 
〰 Resulta divertit que 〰nosaltres {{c1::seamos::…ser…}} (conscients d'això)| ends_in_er extreme_irregularity irregular_form irregular_verb nosotros ser subjuntivo_presente |ser|ser|1|P|S|P|0|conscientes de ello|〰 Resulta divertido que 〰nosotros {{c1::seamos::…ser…}} (conscientes de ello)|siguem|VSSP1P00|central|S|0|||〰 Resulta divertit que 〰nosaltres | (conscients d'això)|〰 Resulta divertit que 〰nosaltres {{c1::siguem::…ser…}} (conscients d'això)|present|subjuntiu|-er|nosaltres| present subjuntiu -er nosaltres ser 
〰 Resulta divertit que 〰vosaltres {{c1::seáis::…ser…}} (conscients d'això)| ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_presente vosotros |ser|ser|2|P|S|P|0|conscientes de ello|〰 Resulta divertido que 〰vosotros {{c1::seáis::…ser…}} (conscientes de ello)|sigueu|VSSP2P00|central|S|0|||〰 Resulta divertit que 〰vosaltres | (conscients d'això)|〰 Resulta divertit que 〰vosaltres {{c1::sigueu::…ser…}} (conscients d'això)|present|subjuntiu|-er|vosaltres| present subjuntiu -er vosaltres ser 
〰 Resulta divertit que 〰ells/elles/vostès {{c1::sean::…ser…}} (conscients d'això)| ellos_ellas_ustedes ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_presente |ser|ser|3|P|S|P|0|conscientes de ello|〰 Resulta divertido que 〰ellos/ellas/ustedes {{c1::sean::…ser…}} (conscientes de ello)|siguin|VSSP3P0Y|central|S|0|||〰 Resulta divertit que 〰ells/elles/vostès | (conscients d'això)|〰 Resulta divertit que 〰ells/elles/vostès {{c1::siguin::…ser…}} (conscients d'això)|present|subjuntiu|-er|ells/elles/vostès| present subjuntiu -er ells/elles/vostès ser 
"↫ Va ser sorprenent que ↫jo {{c1::fuera | fuese::…ser…}} (conscient d'això)"| ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_pasado yo |ser|ser|1|S|S|I|0|consciente de ello|"↫ Fue sorprendente que ↫yo {{c1::fuera | fuese::…ser…}} (consciente de ello)"|fos|VSSI1S01|central|S|0|||↫ Va ser sorprenent que ↫jo | (conscient d'això)|↫ Va ser sorprenent que ↫jo {{c1::fos::…ser…}} (conscient d'això)|imperfet|subjuntiu|-er|jo| imperfet subjuntiu -er jo ser 
"↫ Va ser sorprenent que ↫tu {{c1::fueras | fueses::…ser…}} (conscient d'això)"| ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_pasado tú_vos |ser|ser|2|S|S|I|0|consciente de ello|"↫ Fue sorprendente que ↫tú/vos {{c1::fueras | fueses::…ser…}} (consciente de ello)"|fossis|VSSI2S02|central|S|0|||↫ Va ser sorprenent que ↫tu | (conscient d'això)|↫ Va ser sorprenent que ↫tu {{c1::fossis::…ser…}} (conscient d'això)|imperfet|subjuntiu|-er|tu| imperfet subjuntiu -er tu ser 
"↫ Va ser sorprenent que ↫ell/ella/vostè {{c1::fuera | fuese::…ser…}} (conscient d'això)"| ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb refrán ser subjuntivo_pasado él_ella_usted |ser|ser|3|S|S|I|0|consciente de ello|"↫ Fue sorprendente que ↫él/ella/usted {{c1::fuera | fuese::…ser…}} (consciente de ello)"|fos|VSSI3S01|central|S|0|||↫ Va ser sorprenent que ↫ell/ella/vostè | (conscient d'això)|↫ Va ser sorprenent que ↫ell/ella/vostè {{c1::fos::…ser…}} (conscient d'això)|imperfet|subjuntiu|-er|ell/ella/vostè| imperfet subjuntiu -er ell/ella/vostè ser 
"↫ Va ser sorprenent que ↫nosaltres {{c1::fuéramos | fuésemos::…ser…}} (conscients d'això)"| ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb modismo nosotros ser subjuntivo_pasado |ser|ser|1|P|S|I|0|conscientes de ello|"↫ Fue sorprendente que ↫nosotros {{c1::fuéramos | fuésemos::…ser…}} (conscientes de ello)"|fóssim|VSSI1P02|central|S|0|||↫ Va ser sorprenent que ↫nosaltres | (conscients d'això)|↫ Va ser sorprenent que ↫nosaltres {{c1::fóssim::…ser…}} (conscients d'això)|imperfet|subjuntiu|-er|nosaltres| imperfet subjuntiu -er nosaltres ser 
"↫ Va ser sorprenent que ↫vosaltres {{c1::fuerais | fueseis::…ser…}} (conscients d'això)"| ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_pasado vosotros |ser|ser|2|P|S|I|0|conscientes de ello|"↫ Fue sorprendente que ↫vosotros {{c1::fuerais | fueseis::…ser…}} (conscientes de ello)"|fóssiu|VSSI2P02|central|S|0|||↫ Va ser sorprenent que ↫vosaltres | (conscients d'això)|↫ Va ser sorprenent que ↫vosaltres {{c1::fóssiu::…ser…}} (conscients d'això)|imperfet|subjuntiu|-er|vosaltres| imperfet subjuntiu -er vosaltres ser 
"↫ Va ser sorprenent que ↫ells/elles/vostès {{c1::fueran | fuesen::…ser…}} (conscients d'això)"| ellos_ellas_ustedes ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_pasado |ser|ser|3|P|S|I|0|conscientes de ello|"↫ Fue sorprendente que ↫ellos/ellas/ustedes {{c1::fueran | fuesen::…ser…}} (conscientes de ello)"|fossin|VSSI3P02|central|S|0|||↫ Va ser sorprenent que ↫ells/elles/vostès | (conscients d'això)|↫ Va ser sorprenent que ↫ells/elles/vostès {{c1::fossin::…ser…}} (conscients d'això)|imperfet|subjuntiu|-er|ells/elles/vostès| imperfet subjuntiu -er ells/elles/vostès ser 
Hombre, si us plau,  {{c1::sé::…ser…}} (conscient d'això), ja !| ends_in_er extreme_irregularity imperativo irregular_form irregular_verb ser tú_vos |ser|ser|2|S|M|0|pos|consciente de ello|Hombre, por favor,¡ {{c1::sé::…ser…}} (consciente de ello), ya !|sigues|VSM02S00|central|S|0|||Hombre, si us plau,  | (conscient d'això), ja !|Hombre, si us plau,  {{c1::sigues::…ser…}} (conscient d'això), ja !||imperatiu|-er|tu| imperatiu -er tu ser 
Mujer, si us plau,  no {{c1::seas::…ser…}} (así) !(tu)| ends_in_er extreme_irregularity imperativo in_the_wild irregular_form irregular_verb negative_imperativo refrán ser tú_vos |ser|ser|2|S|M|0|neg|así|Mujer, por favor,¡ no {{c1::seas::…ser…}} (así) !(tú/vos)|siguis|VSSP2S0Y|central|S|0|||Mujer, si us plau,  no | (así) !(tu)|Mujer, si us plau,  no {{c1::siguis::…ser…}} (así) !(tu)||imperatiu|-er|tu| imperatiu -er tu ser 
Senjora, si us plau,  (que) {{c1::sea::…ser…}} (conscient d'això), ja !(ell/ella/vostè)| ends_in_er extreme_irregularity imperativo irregular_form irregular_verb ser él_ella_usted |ser|ser|3|S|M|0|pos|que|Señora, por favor,¡ (que) {{c1::sea::…ser…}} (consciente de ello), ya !(él/ella/usted)|sigui|VSM03S0Y|central|S|0|||Senjora, si us plau,  (que) | (conscient d'això), ja !(ell/ella/vostè)|Senjora, si us plau,  (que) {{c1::sigui::…ser…}} (conscient d'això), ja !(ell/ella/vostè)||imperatiu|-er|ell/ella/vostè| imperatiu -er ell/ella/vostè ser 
Vosaltres equip, si us plau,  (que) {{c1::seamos::…ser…}} (conscients), ja !(nosaltres)| ends_in_er extreme_irregularity imperativo irregular_form irregular_verb nosotros ser |ser|ser|1|P|M|0|pos|que|Vámonos equipo, por favor,¡ (que) {{c1::seamos::…ser…}} (conscientes), ya !(nosotros)|siguem|VSM01P00|central|S|0|||Vosaltres equip, si us plau,  (que) | (conscients), ja !(nosaltres)|Vosaltres equip, si us plau,  (que) {{c1::siguem::…ser…}} (conscients), ja !(nosaltres)||imperatiu|-er|nosaltres| imperatiu -er nosaltres ser 
Tu i tu, si us plau,  {{c1::sed::…ser…}} (conscients), ja !(vosaltres)| ends_in_er extreme_irregularity imperativo irregular_verb regular_form ser vosotros |ser|ser|2|P|M|0|pos|conscientes|Tú y tú, por favor,¡ {{c1::sed::…ser…}} (conscientes), ya !(vosotros)|sigueu|VSM02P00|central|S|0|||Tu i tu, si us plau,  | (conscients), ja !(vosaltres)|Tu i tu, si us plau,  {{c1::sigueu::…ser…}} (conscients), ja !(vosaltres)||imperatiu|-er|vosaltres| imperatiu -er vosaltres ser 
Senjors, si us plau,  (que) {{c1::sean::…ser…}} (conscients), ja ! (ells/elles/vostès)| ellos_ellas_ustedes ends_in_er extreme_irregularity imperativo irregular_form irregular_verb ser |ser|ser|3|P|M|0|pos|que|Señores, por favor,¡ (que) {{c1::sean::…ser…}} (conscientes), ya ! (ellos/ellas/ustedes)|siguin|VSM03P0Y|central|S|0|||Senjors, si us plau,  (que) | (conscients), ja ! (ells/elles/vostès)|Senjors, si us plau,  (que) {{c1::siguin::…ser…}} (conscients), ja ! (ells/elles/vostès)||imperatiu|-er|ells/elles/vostès| imperatiu -er ells/elles/vostès ser 
