|id|guid|mid|mod|usn|flds|csum|flags|data|sfld|tags|uuid
0|1599309962954|"t1||z{8OP4"|1596992551063|1599310148|0||4184801480|0||A mesura que estic estudiant…ella està {{c1::sent::…ser…}} (vigilada)| gerundi -er ser |28974bf1-890e-41fa-bd73-45a7abdfa4cfMientras
1|1599309962955|PhbeK,#2h}|1596992551063|1599309962|0||851395593|0||Hugo ha {{c1::sigut::…ser…}} (vigilat)| participi -er ser |07240d22-3470-46fc-8277-3523d9742561Hugo
2|1599309962956|m05T}gc0C;|1596992551063|1599309962|0||371250322|0||⊙ Ara mateix, ⊙jo {{c1::soc::…ser…}} (conscient d'això)| present indicatiu -er jo ser |610fe216-7c31-414b-91fb-19192740ded1⊙
3|1599309962957|"|wzu@j5%J"|1596992551063|1599309962|0||4031152435|0||⊙ Ara mateix, ⊙tu {{c1::ets::…ser…}} (conscient d'això)| present indicatiu -er tu ser |1c3512c1-80fd-4880-852d-6fa175344917⊙
4|1599309962958|qL]?VuExS:|1596992551063|1599309962|0||3543225138|0||| present indicatiu -er ser |2dfc5669-5006-4d06-a3e5-106d2150bcda⊙
5|1599309962959|F(KURcB8Xf|1596992551063|1599309962|0||3358392039|0||⊙ Ara mateix, ⊙ell/ella/vostè {{c1::és::…ser…}} (conscient d'això)| present indicatiu -er ell/ella/vostè ser |0384bd45-6879-4e7f-ab34-cbe93e87ebb5⊙
6|1599309962960|kd`HFMdn07|1596992551063|1599309962|0||2893818358|0||⊙ Ara mateix, ⊙nosaltres {{c1::som::…ser…}} (conscients d'això)| present indicatiu -er nosaltres ser |bf9367f3-a0b6-43a5-b427-dca0d1ffae69⊙
7|1599309962961|xR)(^+I@p0|1596992551063|1599309962|0||1477945813|0||⊙ Ara mateix, ⊙vosaltres {{c1::sou::…ser…}} (conscients d'això)| present indicatiu -er vosaltres ser |2f1da0d2-2178-445c-8d67-7f968b197a58⊙
8|1599309962962|lL{0U97SW1|1596992551063|1599309962|0||2899309242|0||⊙ Ara mateix, ⊙ells/elles/vostès {{c1::són::…ser…}} (conscients d'això)| present indicatiu -er ells/elles/vostès ser |c9ec198a-3fd7-43a9-ae7f-42acdf8f2960⊙
9|1599309962963|O)c}ygo#(O|1596992551063|1599467487|7221||2895834039|0||⇠ En aquella època, sovint, ⇠jo {{c1::era::…ser…}} (conscient d'això)| imperfet indicatiu -er jo ser |4540a790-281d-474a-96d1-768d7af745d1⇠
10|1599309962964|fO*NfAVg)D|1596992551063|1599467487|7221||967034824|0||| imperfet indicatiu -er ser |79bd5934-35d9-411a-824d-a637a8371f7e⇠
11|1599309962965|t,R31Pc^qe|1596992551063|1599467487|7221||3009812663|0||⇠ En aquella època, sovint, ⇠ell/ella/vostè {{c1::era::…ser…}} (conscient d'això)| imperfet indicatiu -er ell/ella/vostè ser |d2872463-dd9c-4745-a0ac-02f3559cac77⇠
12|1599309962966|"Mc|RmA?b%W"|1596992551063|1599467487|7221||1388017478|0||⇠ En aquella època, sovint, ⇠nosaltres {{c1::érem::…ser…}} (conscients d'això)| imperfet indicatiu -er nosaltres ser |4774f61a-0eed-4a8c-9747-d79fcd200896⇠
13|1599309962967|y%Qz6J(HwR|1596992551063|1599467487|7221||1602748519|0||⇠ En aquella època, sovint, ⇠vosaltres {{c1::éreu::…ser…}} (conscients d'això)| imperfet indicatiu -er vosaltres ser |ae713fcd-f1fe-44fe-b337-ed932f8528d6⇠
14|1599309962968|x7c}Ce=X:u|1596992551063|1599467487|7221||1339185498|0||⇠ En aquella època, sovint, ⇠ells/elles/vostès {{c1::eren::…ser…}} (conscients d'això)| imperfet indicatiu -er ells/elles/vostès ser |61fc4502-f050-4d16-b0ed-036df175d749⇠
15|1599309962969|"z|6p?b%X~8"|1596992551063|1600432083|7322||3045869091|0||↧ En aquell moment ↧jo {{c1::vaig ser::…ser…}} (conscient d'això)| passat_perifrastic indicatiu -er jo ser |463e2733-a16f-491d-bc97-c052042fabab↧
16|1599309962970|e(~AT3*xmu|1596992551063|1600432083|7322||2311534272|0||| passat_perifrastic indicatiu -er ser |9d03097f-a285-4764-9bcd-7c3936389913↧
17|1599309962971|pCzG4>Oazw|1596992551063|1600432083|7322||3499405820|0||↧ En aquell moment ↧ell/ella/vostè {{c1::va ser::…ser…}} (conscient d'això)| passat_perifrastic indicatiu -er ell/ella/vostè ser |dd6c1f11-1f4e-414e-a0a7-6998eee7ba74↧
18|1599309962972|l~qVGSdF.N|1596992551063|1600432083|7322||3601452752|0||↧ En aquell moment ↧nosaltres {{c1::vam ser::…ser…}} (conscients d'això)| passat_perifrastic indicatiu -er nosaltres ser |24c715d6-7d9f-4e86-97a2-96956062c77c↧
19|1599309962973|kR:?i@OsOv|1596992551063|1600432083|7322||3041985421|0||↧ En aquell moment ↧vosaltres {{c1::vau ser::…ser…}} (conscients d'això)| passat_perifrastic indicatiu -er vosaltres ser |23ac9ed6-a9b4-4773-8905-768082f516a1↧
