|note|tags|spanish_verb|inf_verb|person|sing_or_plural|mood|tense|pos_neg_cmd|cast_note|conj_verb|code|region|verb_type|gender|haver_verb|anar_verb|note1|note2|cat_note|tense_tag|mood_tag|ending_tag|pronoun_tag|cat_tags
2|⊙ Ara mateix, ⊙jo {{c1::soy::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity irregular_form irregular_verb presente ser yo |ser|ser|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::soy::…ser…}} (consciente de ello)|soc|VSIP1S00|central|S|0|||⊙ Ara mateix, ⊙jo | (conscient d'això)|⊙ Ara mateix, ⊙jo {{c1::soc::…ser…}} (conscient d'això)|present|indicatiu|-er|jo| present indicatiu -er jo ser 
3|⊙ Ara mateix, ⊙tu {{c1::eres::…ser…}} (conscient d'això)| dicho ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb presente ser tú tú_vos |ser|ser|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::eres::…ser…}} (consciente de ello)|ets|VSIP2S00|central|S|0|||⊙ Ara mateix, ⊙tu | (conscient d'això)|⊙ Ara mateix, ⊙tu {{c1::ets::…ser…}} (conscient d'això)|present|indicatiu|-er|tu| present indicatiu -er tu ser 
4|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::es::…ser…}} (conscient d'això)| ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb modismo presente ser él_ella_usted |ser|ser|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::es::…ser…}} (consciente de ello)|és|VSIP3S00|central|S|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (conscient d'això)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::és::…ser…}} (conscient d'això)|present|indicatiu|-er|ell/ella/vostè| present indicatiu -er ell/ella/vostè ser 
5|⊙ Ara mateix, ⊙nosaltres {{c1::somos::…ser…}} (conscients d'això)| ends_in_er extreme_irregularity irregular_form irregular_verb nosotros presente ser |ser|ser|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::somos::…ser…}} (conscientes de ello)|som|VSIP1P00|central|S|0|||⊙ Ara mateix, ⊙nosaltres | (conscients d'això)|⊙ Ara mateix, ⊙nosaltres {{c1::som::…ser…}} (conscients d'això)|present|indicatiu|-er|nosaltres| present indicatiu -er nosaltres ser 
6|⊙ Ara mateix, ⊙vosaltres {{c1::sois::…ser…}} (conscients d'això)| ends_in_er extreme_irregularity irregular_form irregular_verb presente ser vosotros |ser|ser|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::sois::…ser…}} (conscientes de ello)|sou|VSIP2P00|central|S|0|||⊙ Ara mateix, ⊙vosaltres | (conscients d'això)|⊙ Ara mateix, ⊙vosaltres {{c1::sou::…ser…}} (conscients d'això)|present|indicatiu|-er|vosaltres| present indicatiu -er vosaltres ser 
7|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::son::…ser…}} (conscients d'això)| ellos_ellas_ustedes ends_in_er extreme_irregularity irregular_form irregular_verb presente ser |ser|ser|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::son::…ser…}} (conscientes de ello)|són|VSIP3P00|central|S|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (conscients d'això)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::són::…ser…}} (conscients d'això)|present|indicatiu|-er|ells/elles/vostès| present indicatiu -er ells/elles/vostès ser 
51|⊙ Ara mateix, ⊙jo {{c1::he::…haber…}} (canviat d'opinió)| ends_in_er extreme_irregularity haber irregular_form irregular_verb presente yo |haber|haver|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::he::…haber…}} (cambiado de opinión)|he|VAIP1S00|central|A|0|||⊙ Ara mateix, ⊙jo | (canviat d'opinió)|⊙ Ara mateix, ⊙jo {{c1::he::…haver…}} (canviat d'opinió)|present|indicatiu|-er|jo| present indicatiu -er jo haver 
52|⊙ Ara mateix, ⊙tu {{c1::has::…haber…}} (canviat d'opinió)| ends_in_er extreme_irregularity haber in_the_wild irregular_form irregular_verb presente refrán tú_vos |haber|haver|2|S|I|P|0|⊙ Ahora mismo, ⊙tú/vos {{c1::has::…haber…}} (cambiado de opinión)|has|VAIP2S00|central|A|0|||⊙ Ara mateix, ⊙tu | (canviat d'opinió)|⊙ Ara mateix, ⊙tu {{c1::has::…haver…}} (canviat d'opinió)|present|indicatiu|-er|tu| present indicatiu -er tu haver 
53|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::ha::…haber…}} (canviat d'opinió)| ends_in_er extreme_irregularity haber irregular_form irregular_verb presente él_ella_usted |haber|haver|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::ha::…haber…}} (cambiado de opinión)|ha|VAIP3S00|central|A|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (canviat d'opinió)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::ha::…haver…}} (canviat d'opinió)|present|indicatiu|-er|ell/ella/vostè| present indicatiu -er ell/ella/vostè haver 
54|⊙ Ara mateix, ⊙nosaltres {{c1::hemos::…haber…}} (canviat d'opinió)| ends_in_er extreme_irregularity haber in_the_wild irregular_form irregular_verb nosotros presente refrán |haber|haver|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::hemos::…haber…}} (cambiado de opinión)|hem|VAIP1P00|central|A|0|||⊙ Ara mateix, ⊙nosaltres | (canviat d'opinió)|⊙ Ara mateix, ⊙nosaltres {{c1::hem::…haver…}} (canviat d'opinió)|present|indicatiu|-er|nosaltres| present indicatiu -er nosaltres haver 
