	note	tags	spanish_verb	inf_verb	person	sing_or_plural	mood	tense	pos_neg_cmd	note1	note2
2137	Mientras estoy estudiando…ella está {{c1::actuando::…actuar…}} (en el teatro)	 actuar ends_in_ar gerundio irregular_verb low_irregularity regular_form 	actuar	actuar	0	0	G	0	0	Mientras estoy estudiando…ella está 	 (en el teatro)
2167	… Si pasara algo, …nosotros {{c1::actuaríamos::…actuar…}} (en el teatro)	 actuar condicional ends_in_ar irregular_verb low_irregularity nosotros regular_form 	actuar	actuar	1	P	I	C	0	… Si pasara algo, …nosotros 	 (en el teatro)
2164	… Si ocurriese esto, …yo {{c1::actuaría::…actuar…}} (en el teatro)	 actuar condicional ends_in_ar irregular_verb low_irregularity regular_form yo 	actuar	actuar	1	S	I	C	0	… Si ocurriese esto, …yo 	 (en el teatro)
2168	… Si aconteciese esto, …vosotros {{c1::actuaríais::…actuar…}} (en el teatro)	 actuar condicional ends_in_ar irregular_verb low_irregularity regular_form vosotros 	actuar	actuar	2	P	I	C	0	… Si aconteciese esto, …vosotros 	 (en el teatro)
2169	… Si se produjera esto, …ellos/ellas/ustedes {{c1::actuarían::…actuar…}} (en el teatro)	 actuar condicional ellos_ellas_ustedes ends_in_ar irregular_verb low_irregularity regular_form 	actuar	actuar	3	P	I	C	0	… Si se produjera esto, …ellos/ellas/ustedes 	 (en el teatro)
2166	… Si acaeciera algo, …él/ella/usted {{c1::actuaría::…actuar…}} (en el teatro)	 actuar condicional ends_in_ar irregular_verb low_irregularity regular_form él_ella_usted 	actuar	actuar	3	S	I	C	0	… Si acaeciera algo, …él/ella/usted 	 (en el teatro)
2161	→ En el futuro, →nosotros {{c1::actuaremos::…actuar…}} (en el teatro)	 actuar ends_in_ar futuro irregular_verb low_irregularity nosotros regular_form 	actuar	actuar	1	P	I	F	0	→ En el futuro, →nosotros 	 (en el teatro)
2158	→ En el futuro, →yo {{c1::actuaré::…actuar…}} (en el teatro)	 actuar ends_in_ar futuro in_the_wild irregular_verb low_irregularity modismo regular_form yo 	actuar	actuar	1	S	I	F	0	→ En el futuro, →yo 	 (en el teatro)
2162	→ En el futuro, →vosotros {{c1::actuaréis::…actuar…}} (en el teatro)	 actuar ends_in_ar futuro irregular_verb low_irregularity regular_form vosotros 	actuar	actuar	2	P	I	F	0	→ En el futuro, →vosotros 	 (en el teatro)
2163	→ En el futuro, →ellos/ellas/ustedes {{c1::actuarán::…actuar…}} (en el teatro)	 actuar ellos_ellas_ustedes ends_in_ar futuro irregular_verb low_irregularity regular_form 	actuar	actuar	3	P	I	F	0	→ En el futuro, →ellos/ellas/ustedes 	 (en el teatro)
2160	→ En el futuro, →él/ella/usted {{c1::actuará::…actuar…}} (en el teatro)	 actuar ends_in_ar futuro irregular_verb low_irregularity regular_form él_ella_usted 	actuar	actuar	3	S	I	F	0	→ En el futuro, →él/ella/usted 	 (en el teatro)
2149	⇠ En esa época, a menudo, ⇠nosotros {{c1::actuábamos::…actuar…}} (en el teatro)	 actuar ends_in_ar imperfecto irregular_verb low_irregularity nosotros regular_form 	actuar	actuar	1	P	I	I	0	⇠ En esa época, a menudo, ⇠nosotros 	 (en el teatro)
2146	⇠ En esa época, a menudo, ⇠yo {{c1::actuaba::…actuar…}} (en el teatro)	 actuar ends_in_ar imperfecto irregular_verb low_irregularity regular_form yo 	actuar	actuar	1	S	I	I	0	⇠ En esa época, a menudo, ⇠yo 	 (en el teatro)
2150	⇠ En esa época, a menudo, ⇠vosotros {{c1::actuabais::…actuar…}} (en el teatro)	 actuar ends_in_ar imperfecto irregular_verb low_irregularity regular_form vosotros 	actuar	actuar	2	P	I	I	0	⇠ En esa época, a menudo, ⇠vosotros 	 (en el teatro)
2151	⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes {{c1::actuaban::…actuar…}} (en el teatro)	 actuar ellos_ellas_ustedes ends_in_ar imperfecto irregular_verb low_irregularity regular_form 	actuar	actuar	3	P	I	I	0	⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes 	 (en el teatro)
2148	⇠ En esa época, a menudo, ⇠él/ella/usted {{c1::actuaba::…actuar…}} (en el teatro)	 actuar ends_in_ar imperfecto irregular_verb low_irregularity regular_form él_ella_usted 	actuar	actuar	3	S	I	I	0	⇠ En esa época, a menudo, ⇠él/ella/usted 	 (en el teatro)
2143	⊙ Ahora mismo, ⊙nosotros {{c1::actuamos::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_verb low_irregularity nosotros presente regular_form 	actuar	actuar	1	P	I	P	0	⊙ Ahora mismo, ⊙nosotros 	 (en el teatro)
2139	⊙ Ahora mismo, ⊙yo {{c1::actúo::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_form irregular_verb low_irregularity presente yo 	actuar	actuar	1	S	I	P	0	⊙ Ahora mismo, ⊙yo 	 (en el teatro)
2144	⊙ Ahora mismo, ⊙vosotros {{c1::actuáis::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_verb low_irregularity presente regular_form vosotros 	actuar	actuar	2	P	I	P	0	⊙ Ahora mismo, ⊙vosotros 	 (en el teatro)
2145	⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::actúan::…actuar…}} (en el teatro)	 actuar ellos_ellas_ustedes ends_in_ar in_the_wild irregular_form irregular_verb low_irregularity modismo presente 	actuar	actuar	3	P	I	P	0	⊙ Ahora mismo, ⊙ellos/ellas/ustedes 	 (en el teatro)
2142	⊙ Ahora mismo, ⊙él/ella/usted {{c1::actúa::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_form irregular_verb low_irregularity presente él_ella_usted 	actuar	actuar	3	S	I	P	0	⊙ Ahora mismo, ⊙él/ella/usted 	 (en el teatro)
2155	↧ En aquel momento ↧nosotros {{c1::actuamos::…actuar…}} (en el teatro)	 actuar ends_in_ar indefinido irregular_verb low_irregularity nosotros regular_form 	actuar	actuar	1	P	I	passat_perifrastic	0	↧ En aquel momento ↧nosotros 	 (en el teatro)
2152	↧ En aquel momento ↧yo {{c1::actué::…actuar…}} (en el teatro)	 actuar ends_in_ar indefinido irregular_verb low_irregularity regular_form yo 	actuar	actuar	1	S	I	passat_perifrastic	0	↧ En aquel momento ↧yo 	 (en el teatro)
2156	↧ En aquel momento ↧vosotros {{c1::actuasteis::…actuar…}} (en el teatro)	 actuar ends_in_ar indefinido irregular_verb low_irregularity regular_form vosotros 	actuar	actuar	2	P	I	passat_perifrastic	0	↧ En aquel momento ↧vosotros 	 (en el teatro)
2157	↧ En aquel momento ↧ellos/ellas/ustedes {{c1::actuaron::…actuar…}} (en el teatro)	 actuar ellos_ellas_ustedes ends_in_ar indefinido irregular_verb low_irregularity regular_form 	actuar	actuar	3	P	I	passat_perifrastic	0	↧ En aquel momento ↧ellos/ellas/ustedes 	 (en el teatro)
2154	↧ En aquel momento ↧él/ella/usted {{c1::actuó::…actuar…}} (en el teatro)	 actuar ends_in_ar in_the_wild indefinido irregular_verb low_irregularity modismo regular_form él_ella_usted 	actuar	actuar	3	S	I	passat_perifrastic	0	↧ En aquel momento ↧él/ella/usted 	 (en el teatro)
2186	Vámonos equipo, por favor,¡ (que) {{c1::actuemos::…actuar…}} (en consecuencia), ya !(nosotros)	 actuar ends_in_ar imperativo irregular_verb low_irregularity nosotros regular_form 	actuar	actuar	1	P	M	0	pos	Vámonos equipo, por favor,¡ (que) 	 (en consecuencia), ya !(nosotros)
2187	Tú y tú, por favor,¡ {{c1::actuad::…actuar…}} (en consecuencia), ya !(vosotros)	 actuar ends_in_ar imperativo irregular_verb low_irregularity regular_form vosotros 	actuar	actuar	2	P	M	0	pos	Tú y tú, por favor,¡ 	 (en consecuencia), ya !(vosotros)
2188	Señores, por favor,¡ (que) {{c1::actúen::…actuar…}} (en consecuencia), ya ! (ellos/ellas/ustedes)	 actuar ellos_ellas_ustedes ends_in_ar imperativo irregular_form irregular_verb low_irregularity 	actuar	actuar	3	P	M	0	pos	Señores, por favor,¡ (que) 	 (en consecuencia), ya ! (ellos/ellas/ustedes)
2185	Señora, por favor,¡ (que) {{c1::actúe::…actuar…}} (en consecuencia), ya !(él/ella/usted)	 actuar ends_in_ar imperativo irregular_form irregular_verb low_irregularity él_ella_usted 	actuar	actuar	3	S	M	0	pos	Señora, por favor,¡ (que) 	 (en consecuencia), ya !(él/ella/usted)
2138	Hugo ha {{c1::actuado::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_verb low_irregularity participio regular_form 	actuar	actuar	0	S	P	0	0	Hugo ha 	 (en el teatro)
2179	↫ Fue sorprendente que ↫nosotros {{c1::actuáramos | actuásemos::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_verb low_irregularity nosotros regular_form subjuntivo_pasado 	actuar	actuar	1	P	S	I	0	↫ Fue sorprendente que ↫nosotros 	 (en el teatro)
2176	↫ Fue sorprendente que ↫yo {{c1::actuara | actuase::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_verb low_irregularity regular_form subjuntivo_pasado yo 	actuar	actuar	1	S	S	I	0	↫ Fue sorprendente que ↫yo 	 (en el teatro)
2180	↫ Fue sorprendente que ↫vosotros {{c1::actuarais | actuaseis::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_verb low_irregularity regular_form subjuntivo_pasado vosotros 	actuar	actuar	2	P	S	I	0	↫ Fue sorprendente que ↫vosotros 	 (en el teatro)
2181	↫ Fue sorprendente que ↫ellos/ellas/ustedes {{c1::actuaran | actuasen::…actuar…}} (en el teatro)	 actuar ellos_ellas_ustedes ends_in_ar irregular_verb low_irregularity regular_form subjuntivo_pasado 	actuar	actuar	3	P	S	I	0	↫ Fue sorprendente que ↫ellos/ellas/ustedes 	 (en el teatro)
2178	↫ Fue sorprendente que ↫él/ella/usted {{c1::actuara | actuase::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_verb low_irregularity regular_form subjuntivo_pasado él_ella_usted 	actuar	actuar	3	S	S	I	0	↫ Fue sorprendente que ↫él/ella/usted 	 (en el teatro)
2173	〰 Resulta divertido que 〰nosotros {{c1::actuemos::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_verb low_irregularity nosotros regular_form subjuntivo_presente 	actuar	actuar	1	P	S	P	0	〰 Resulta divertido que 〰nosotros 	 (en el teatro)
2170	〰 Resulta divertido que 〰yo {{c1::actúe::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_form irregular_verb low_irregularity subjuntivo_presente yo 	actuar	actuar	1	S	S	P	0	〰 Resulta divertido que 〰yo 	 (en el teatro)
2174	〰 Resulta divertido que 〰vosotros {{c1::actuéis::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_verb low_irregularity regular_form subjuntivo_presente vosotros 	actuar	actuar	2	P	S	P	0	〰 Resulta divertido que 〰vosotros 	 (en el teatro)
2175	〰 Resulta divertido que 〰ellos/ellas/ustedes {{c1::actúen::…actuar…}} (en el teatro)	 actuar ellos_ellas_ustedes ends_in_ar irregular_form irregular_verb low_irregularity subjuntivo_presente 	actuar	actuar	3	P	S	P	0	〰 Resulta divertido que 〰ellos/ellas/ustedes 	 (en el teatro)
2172	〰 Resulta divertido que 〰él/ella/usted {{c1::actúe::…actuar…}} (en el teatro)	 actuar ends_in_ar irregular_form irregular_verb low_irregularity subjuntivo_presente él_ella_usted 	actuar	actuar	3	S	S	P	0	〰 Resulta divertido que 〰él/ella/usted 	 (en el teatro)
2659	Mientras estoy estudiando…ella se está {{c1::adecuando::…adecuar…}} (a la situación)	 adecuar ends_in_ar gerundio irregular_verb low_irregularity regular_form 	adecuar	adequar	0	0	G	0	0	Mientras estoy estudiando…ella se está 	 (a la situación)
2689	… Si pasara algo, …nosotros {{c1::adecuaríamos::…adecuar…}} (la velocidad al tráfico)	 adecuar condicional ends_in_ar irregular_verb low_irregularity nosotros regular_form 	adecuar	adequar	1	P	I	C	0	… Si pasara algo, …nosotros 	 (la velocidad al tráfico)
2686	… Si ocurriese esto, …yo {{c1::adecuaría::…adecuar…}} (la velocidad al tráfico)	 adecuar condicional ends_in_ar irregular_verb low_irregularity regular_form yo 	adecuar	adequar	1	S	I	C	0	… Si ocurriese esto, …yo 	 (la velocidad al tráfico)
2690	… Si aconteciese esto, …vosotros {{c1::adecuaríais::…adecuar…}} (la velocidad al tráfico)	 adecuar condicional ends_in_ar irregular_verb low_irregularity regular_form vosotros 	adecuar	adequar	2	P	I	C	0	… Si aconteciese esto, …vosotros 	 (la velocidad al tráfico)
2691	… Si se produjera esto, …ellos/ellas/ustedes {{c1::adecuarían::…adecuar…}} (la velocidad al tráfico)	 adecuar condicional ellos_ellas_ustedes ends_in_ar irregular_verb low_irregularity regular_form 	adecuar	adequar	3	P	I	C	0	… Si se produjera esto, …ellos/ellas/ustedes 	 (la velocidad al tráfico)
2688	… Si acaeciera algo, …él/ella/usted {{c1::adecuaría::…adecuar…}} (la velocidad al tráfico)	 adecuar condicional ends_in_ar irregular_verb low_irregularity regular_form él_ella_usted 	adecuar	adequar	3	S	I	C	0	… Si acaeciera algo, …él/ella/usted 	 (la velocidad al tráfico)
2683	→ En el futuro, →nosotros {{c1::adecuaremos::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar futuro irregular_verb low_irregularity nosotros regular_form 	adecuar	adequar	1	P	I	F	0	→ En el futuro, →nosotros 	 (la velocidad al tráfico)
2680	→ En el futuro, →yo {{c1::adecuaré::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar futuro irregular_verb low_irregularity regular_form yo 	adecuar	adequar	1	S	I	F	0	→ En el futuro, →yo 	 (la velocidad al tráfico)
2684	→ En el futuro, →vosotros {{c1::adecuaréis::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar futuro irregular_verb low_irregularity regular_form vosotros 	adecuar	adequar	2	P	I	F	0	→ En el futuro, →vosotros 	 (la velocidad al tráfico)
2685	→ En el futuro, →ellos/ellas/ustedes {{c1::adecuarán::…adecuar…}} (la velocidad al tráfico)	 adecuar ellos_ellas_ustedes ends_in_ar futuro irregular_verb low_irregularity regular_form 	adecuar	adequar	3	P	I	F	0	→ En el futuro, →ellos/ellas/ustedes 	 (la velocidad al tráfico)
2682	→ En el futuro, →él/ella/usted {{c1::adecuará::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar futuro irregular_verb low_irregularity regular_form él_ella_usted 	adecuar	adequar	3	S	I	F	0	→ En el futuro, →él/ella/usted 	 (la velocidad al tráfico)
2671	⇠ En esa época, a menudo, ⇠nosotros {{c1::adecuábamos::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar imperfecto irregular_verb low_irregularity nosotros regular_form 	adecuar	adequar	1	P	I	I	0	⇠ En esa época, a menudo, ⇠nosotros 	 (la velocidad al tráfico)
2668	⇠ En esa época, a menudo, ⇠yo {{c1::adecuaba::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar imperfecto irregular_verb low_irregularity regular_form yo 	adecuar	adequar	1	S	I	I	0	⇠ En esa época, a menudo, ⇠yo 	 (la velocidad al tráfico)
2672	⇠ En esa época, a menudo, ⇠vosotros {{c1::adecuabais::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar imperfecto irregular_verb low_irregularity regular_form vosotros 	adecuar	adequar	2	P	I	I	0	⇠ En esa época, a menudo, ⇠vosotros 	 (la velocidad al tráfico)
2673	⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes {{c1::adecuaban::…adecuar…}} (la velocidad al tráfico)	 adecuar ellos_ellas_ustedes ends_in_ar imperfecto irregular_verb low_irregularity regular_form 	adecuar	adequar	3	P	I	I	0	⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes 	 (la velocidad al tráfico)
2670	⇠ En esa época, a menudo, ⇠él/ella/usted {{c1::adecuaba::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar imperfecto irregular_verb low_irregularity regular_form él_ella_usted 	adecuar	adequar	3	S	I	I	0	⇠ En esa época, a menudo, ⇠él/ella/usted 	 (la velocidad al tráfico)
2665	⊙ Ahora mismo, ⊙nosotros {{c1::adecuamos::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar irregular_verb low_irregularity nosotros presente regular_form 	adecuar	adequar	1	P	I	P	0	⊙ Ahora mismo, ⊙nosotros 	 (la velocidad al tráfico)
2661	⊙ Ahora mismo, ⊙yo {{c1::adecuo | adecúo::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar irregular_form irregular_verb low_irregularity presente yo 	adecuar	adequar	1	S	I	P	0	⊙ Ahora mismo, ⊙yo 	 (la velocidad al tráfico)
2666	⊙ Ahora mismo, ⊙vosotros {{c1::adecuáis::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar irregular_verb low_irregularity presente regular_form vosotros 	adecuar	adequar	2	P	I	P	0	⊙ Ahora mismo, ⊙vosotros 	 (la velocidad al tráfico)
2667	⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::adecuan | adecúan::…adecuar…}} (la velocidad al tráfico)	 adecuar ellos_ellas_ustedes ends_in_ar irregular_form irregular_verb low_irregularity presente 	adecuar	adequar	3	P	I	P	0	⊙ Ahora mismo, ⊙ellos/ellas/ustedes 	 (la velocidad al tráfico)
2664	⊙ Ahora mismo, ⊙él/ella/usted {{c1::adecua | adecúa::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar irregular_form irregular_verb low_irregularity presente él_ella_usted 	adecuar	adequar	3	S	I	P	0	⊙ Ahora mismo, ⊙él/ella/usted 	 (la velocidad al tráfico)
2677	↧ En aquel momento ↧nosotros {{c1::adecuamos::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar indefinido irregular_verb low_irregularity nosotros regular_form 	adecuar	adequar	1	P	I	passat_perifrastic	0	↧ En aquel momento ↧nosotros 	 (la velocidad al tráfico)
2674	↧ En aquel momento ↧yo {{c1::adecué::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar indefinido irregular_verb low_irregularity regular_form yo 	adecuar	adequar	1	S	I	passat_perifrastic	0	↧ En aquel momento ↧yo 	 (la velocidad al tráfico)
2678	↧ En aquel momento ↧vosotros {{c1::adecuasteis::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar indefinido irregular_verb low_irregularity regular_form vosotros 	adecuar	adequar	2	P	I	passat_perifrastic	0	↧ En aquel momento ↧vosotros 	 (la velocidad al tráfico)
2679	↧ En aquel momento ↧ellos/ellas/ustedes {{c1::adecuaron::…adecuar…}} (la velocidad al tráfico)	 adecuar ellos_ellas_ustedes ends_in_ar indefinido irregular_verb low_irregularity regular_form 	adecuar	adequar	3	P	I	passat_perifrastic	0	↧ En aquel momento ↧ellos/ellas/ustedes 	 (la velocidad al tráfico)
2676	↧ En aquel momento ↧él/ella/usted {{c1::adecuó::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar indefinido irregular_verb low_irregularity regular_form él_ella_usted 	adecuar	adequar	3	S	I	passat_perifrastic	0	↧ En aquel momento ↧él/ella/usted 	 (la velocidad al tráfico)
2708	Vámonos equipo, por favor,¡ (que) {{c1::adecuemos::…adecuar…}} (la velocidad al tráfico), ya !(nosotros)	 adecuar ends_in_ar imperativo irregular_verb low_irregularity nosotros regular_form 	adecuar	adequar	1	P	M	0	pos	Vámonos equipo, por favor,¡ (que) 	 (la velocidad al tráfico), ya !(nosotros)
2709	Tú y tú, por favor,¡ {{c1::adecuad::…adecuar…}} (la velocidad al tráfico), ya !(vosotros)	 adecuar ends_in_ar imperativo irregular_verb low_irregularity regular_form vosotros 	adecuar	adequar	2	P	M	0	pos	Tú y tú, por favor,¡ 	 (la velocidad al tráfico), ya !(vosotros)
2710	Señores, por favor,¡ (que) {{c1::adecuen | adecúen::…adecuar…}} (la velocidad al tráfico), ya ! (ellos/ellas/ustedes)	 adecuar ellos_ellas_ustedes ends_in_ar imperativo irregular_form irregular_verb low_irregularity 	adecuar	adequar	3	P	M	0	pos	Señores, por favor,¡ (que) 	 (la velocidad al tráfico), ya ! (ellos/ellas/ustedes)
2707	Señora, por favor,¡ (que) {{c1::adecue | adecúe::…adecuar…}} (la velocidad al tráfico), ya !(él/ella/usted)	 adecuar ends_in_ar imperativo irregular_form irregular_verb low_irregularity él_ella_usted 	adecuar	adequar	3	S	M	0	pos	Señora, por favor,¡ (que) 	 (la velocidad al tráfico), ya !(él/ella/usted)
2660	Hugo se ha {{c1::adecuado::…adecuar…}} (a la situación)	 adecuar ends_in_ar irregular_verb low_irregularity participio regular_form 	adecuar	adequar	0	S	P	0	0	Hugo se ha 	 (a la situación)
2701	↫ Fue sorprendente que ↫nosotros {{c1::adecuáramos | adecuásemos::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar irregular_verb low_irregularity nosotros regular_form subjuntivo_pasado 	adecuar	adequar	1	P	S	I	0	↫ Fue sorprendente que ↫nosotros 	 (la velocidad al tráfico)
2698	↫ Fue sorprendente que ↫yo {{c1::adecuara | adecuase::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar irregular_verb low_irregularity regular_form subjuntivo_pasado yo 	adecuar	adequar	1	S	S	I	0	↫ Fue sorprendente que ↫yo 	 (la velocidad al tráfico)
2702	↫ Fue sorprendente que ↫vosotros {{c1::adecuarais | adecuaseis::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar irregular_verb low_irregularity regular_form subjuntivo_pasado vosotros 	adecuar	adequar	2	P	S	I	0	↫ Fue sorprendente que ↫vosotros 	 (la velocidad al tráfico)
2703	↫ Fue sorprendente que ↫ellos/ellas/ustedes {{c1::adecuaran | adecuasen::…adecuar…}} (la velocidad al tráfico)	 adecuar ellos_ellas_ustedes ends_in_ar irregular_verb low_irregularity regular_form subjuntivo_pasado 	adecuar	adequar	3	P	S	I	0	↫ Fue sorprendente que ↫ellos/ellas/ustedes 	 (la velocidad al tráfico)
2700	↫ Fue sorprendente que ↫él/ella/usted {{c1::adecuara | adecuase::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar irregular_verb low_irregularity regular_form subjuntivo_pasado él_ella_usted 	adecuar	adequar	3	S	S	I	0	↫ Fue sorprendente que ↫él/ella/usted 	 (la velocidad al tráfico)
2695	〰 Resulta divertido que 〰nosotros {{c1::adecuemos::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar irregular_verb low_irregularity nosotros regular_form subjuntivo_presente 	adecuar	adequar	1	P	S	P	0	〰 Resulta divertido que 〰nosotros 	 (la velocidad al tráfico)
2692	〰 Resulta divertido que 〰yo {{c1::adecue | adecúe::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar irregular_form irregular_verb low_irregularity subjuntivo_presente yo 	adecuar	adequar	1	S	S	P	0	〰 Resulta divertido que 〰yo 	 (la velocidad al tráfico)
2696	〰 Resulta divertido que 〰vosotros {{c1::adecuéis::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar irregular_verb low_irregularity regular_form subjuntivo_presente vosotros 	adecuar	adequar	2	P	S	P	0	〰 Resulta divertido que 〰vosotros 	 (la velocidad al tráfico)
2697	〰 Resulta divertido que 〰ellos/ellas/ustedes {{c1::adecuen | adecúen::…adecuar…}} (la velocidad al tráfico)	 adecuar ellos_ellas_ustedes ends_in_ar irregular_form irregular_verb low_irregularity subjuntivo_presente 	adecuar	adequar	3	P	S	P	0	〰 Resulta divertido que 〰ellos/ellas/ustedes 	 (la velocidad al tráfico)
2694	〰 Resulta divertido que 〰él/ella/usted {{c1::adecue | adecúe::…adecuar…}} (la velocidad al tráfico)	 adecuar ends_in_ar irregular_form irregular_verb low_irregularity subjuntivo_presente él_ella_usted 	adecuar	adequar	3	S	S	P	0	〰 Resulta divertido que 〰él/ella/usted 	 (la velocidad al tráfico)
2311	Mientras estoy estudiando…ella está {{c1::adquiriendo::…adquirir…}} (libros)	 adquirir ends_in_ir gerundio irregular_verb low_irregularity regular_form 	adquirir	adquirir	0	0	G	0	0	Mientras estoy estudiando…ella está 	 (libros)
2341	… Si pasara algo, …nosotros {{c1::adquiriríamos::…adquirir…}} (libros)	 adquirir condicional ends_in_ir irregular_verb low_irregularity nosotros regular_form 	adquirir	adquirir	1	P	I	C	0	… Si pasara algo, …nosotros 	 (libros)
2338	… Si ocurriese esto, …yo {{c1::adquiriría::…adquirir…}} (libros)	 adquirir condicional ends_in_ir irregular_verb low_irregularity regular_form yo 	adquirir	adquirir	1	S	I	C	0	… Si ocurriese esto, …yo 	 (libros)
2342	… Si aconteciese esto, …vosotros {{c1::adquiriríais::…adquirir…}} (libros)	 adquirir condicional ends_in_ir irregular_verb low_irregularity regular_form vosotros 	adquirir	adquirir	2	P	I	C	0	… Si aconteciese esto, …vosotros 	 (libros)
2343	… Si se produjera esto, …ellos/ellas/ustedes {{c1::adquirirían::…adquirir…}} (libros)	 adquirir condicional ellos_ellas_ustedes ends_in_ir irregular_verb low_irregularity regular_form 	adquirir	adquirir	3	P	I	C	0	… Si se produjera esto, …ellos/ellas/ustedes 	 (libros)
2340	… Si acaeciera algo, …él/ella/usted {{c1::adquiriría::…adquirir…}} (libros)	 adquirir condicional ends_in_ir irregular_verb low_irregularity regular_form él_ella_usted 	adquirir	adquirir	3	S	I	C	0	… Si acaeciera algo, …él/ella/usted 	 (libros)
2335	→ En el futuro, →nosotros {{c1::adquiriremos::…adquirir…}} (libros)	 adquirir ends_in_ir futuro irregular_verb low_irregularity nosotros regular_form 	adquirir	adquirir	1	P	I	F	0	→ En el futuro, →nosotros 	 (libros)
